date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:13	121/121	---M--	200	added ('OK')	text/plain	date:Fri,%2017%20Jan%202025%2000:46:14%20GMT	http://www.cantaclaro.com.pe/robots.txt		(from )
19:46:17	113046/113046	---MC-	200	added ('OK')	text/html	date:Fri,%2017%20Jan%202025%2000:46:14%20GMT	http://www.cantaclaro.com.pe/	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/index.html	(from )
19:46:19	731/731	---M--	200	added ('OK')	application/rss+xml	etag:%2272557af84e154f702ae3f5a2a64a4b8f%22	http://www.cantaclaro.com.pe/comments/feed/	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/comments/feed/index.html	(from http://www.cantaclaro.com.pe/)
19:46:25	47880/47880	---M--	200	added ('OK')	application/font-woff	etag:%22bb08-60456c384e5a2%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/QuizaPro-Regular.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/QuizaPro-Regular.woff	(from http://www.cantaclaro.com.pe/)
19:46:26	38572/38572	---MC-	200	added ('OK')	application/rss+xml	etag:%2272557af84e154f702ae3f5a2a64a4b8f%22	http://www.cantaclaro.com.pe/feed/	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/feed/index.html	(from http://www.cantaclaro.com.pe/)
19:46:28	91684/91684	---M--	200	added ('OK')	application/font-woff	etag:%2216624-60456c37b7f56%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/Quiza-Pro-Bold.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/Quiza-Pro-Bold.woff	(from http://www.cantaclaro.com.pe/)
19:46:32	41972/41972	---M--	200	added ('OK')	application/font-woff	etag:%22a3f4-60456bfb87f65%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino25Thin.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino25Thin.woff	(from http://www.cantaclaro.com.pe/)
19:46:32	87664/87664	---M--	200	added ('OK')	application/font-woff	etag:%2215670-60456c37e88b2%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/Quiza-Pro-ExtraBold.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/Quiza-Pro-ExtraBold.woff	(from http://www.cantaclaro.com.pe/)
19:46:33	42432/42432	---M--	200	added ('OK')	application/font-woff	etag:%22a5c0-60456bfbca9d2%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino35Light.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino35Light.woff	(from http://www.cantaclaro.com.pe/)
19:46:35	42576/42576	---M--	200	added ('OK')	application/font-woff	etag:%22a650-60456bfc1b6d0%22	http://www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino45Regular.woff	C:/Mis%20lugares%20Web/test/www.cantaclaro.com.pe/wp-content/uploads/2023/05/CoreRhino45Regular.woff	(from http://www.cantaclaro.com.pe/)
